№;Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount;Russian language,GPA;Russian language,spravlyaemost;Mathematics profil,amount;Mathematics profil,GPA;Mathematics profil,spravlyaemost;Mathematics base,amount;Mathematics base,GPA;Mathematics base,spravlyaemost;Physics ,amount;Physics,GPA;Physics,spravlyaemost;Chemistry ,amount;Chemistry ,GPA;Chemistry,spravlyaemost;Biology,amount;Biology ,GPA;Biology,spravlyaemost;Geography ,amount;Geography ,GPA;Geography,spravlyaemost;Computer science ,amount;Computer science ,GPA;Computer science,spravlyaemost;Literature ,amount;Literature ,GPA;Literature,spravlyaemost;History ,amount;History ,GPA;History,spravlyaemost;Social Studies ,amount;Social Studies ,GPA;Social Studies,spravlyaemost;English ,amount;English ,GPA;English,spravlyaemost;German ,amount;German ,GPA;German,spravlyaemost;French ,amount;French ,GPA;French,spravlyaemost;Lat;Long
42;760125;г. Ярославль;2;"Муниципальное общеобразовательное учреждение ""Гимназия № 2""";150045, Ярославская обл., г. Ярославль, Ленинградский пр-т, д.87;Масленников Николай Васильевич;4852;550733;yargimn002@yandex.ru;http://gimn2.edu.yar.ru;112;80,4;100;79;59,3;98,7;74;4,6;100;24;51,8;95,8;12;65,9;91,7;17;66,5;100;;;;15;74,3;93,3;6;66,8;100;31;68;100;78;68,4;100;9;81;100;;;;1;58;100;57.684714;39.777886
43;760218;г. Ярославль;3;"Муниципальное общеобразовательное учреждение ""Гимназия № 3""";150051, Ярославская обл., г. Ярославль, ул. Саукова, д.5;Табунова Татьяна Александровна;4852;246607;yargimn003@yandex.ru;http://gimn3.edu.yar.ru;75;82,3;100;51;59,5;94,1;59;4,7;100;19;57,9;94,7;12;62,1;100;14;70,9;100;2;61;100;8;55,4;87,5;8;58,1;100;17;65;94,1;34;67,2;100;8;66,9;100;;;;2;54;100;57.644679;39.945754
44;760410;г. Ярославль;86;"Муниципальное общеобразовательное учреждение ""Лицей № 86""";150023, Ярославская обл., г. Ярославль, ул. Зелинского, д.6;Большакова Ольга Владимировна;4852;470456;yarlicey086@yandex.ru;http://www.licey86.ru/;94;77,9;100;90;65,1;100;93;4,9;100;35;59,3;100;15;66,7;100;21;61,1;100;;;;24;65,2;95,8;2;46;100;6;54;100;50;60,1;94;10;69;100;;;;;;;57.581515;39.839429
45;760514;г. Ярославль;94;"Муниципальное общеобразовательное учреждение ""Открытая (сменная) школа № 94""";150040, Ярославская обл., г. Ярославль, ул. З.Космодемьянской, д.4а;Шитова Елена Михайловна;4852;791760;yarsch094@yandex.ru;http://school94.edu.yar.ru;33;54,7;100;5;27,4;40;32;3,8;100;3;29,3;33,3;;;;1;23;0;;;;;;;5;30,8;60;3;35;100;12;41,8;66,7;1;55;100;;;;;;;57.64085;39.872595
46;760411;г. Ярославль;96;"Муниципальное общеобразовательное учреждение ""Открытая (сменная) школа № 96""";150003, Ярославская обл., г. Ярославль, ул. Стачек, д.57;и.о. Копеина Ольга Владимировна;4852;327395;yarsch096@yandex.ru;http://school96.edu.yar.ru;26;53,7;100;8;28,4;50;24;3,3;95,8;2;55,5;100;;;;2;52;100;;;;;;;;;;1;40;100;9;35,1;33,3;;;;;;;;;;57.609601;39.831938
47;760217;г. Ярославль;97;"Муниципальное общеобразовательное учреждение ""Открытая (сменная) школа № 97""";150007, Ярославская обл., г. Ярославль, ст. Урочь, д.10 ;Капшай Дмитрий Сергеевич;4852;240488;yarsch097@yandex.ru;http://76202s097.edusite.ru;22;50,4;95,5;4;23,3;50;22;3,4;90,9;;;;;;;;;;;;;;;;;;;;;;5;45,8;80;1;51;100;;;;;;;57.640253;39.904935
48;760301;г. Ярославль;1;"Муниципальное общеобразовательное учреждение ""Средняя школа № 1""";150049, Ярославская обл., г. Ярославль, ул. С.-Щедрина, д.75;Петрунина Галина Николаевна;4852;213635;yarsch001@yandex.ru;http://яршкола1.рф;24;77,9;100;20;46,5;80;24;4,7;100;7;52,1;100;4;59,3;100;5;61,2;100;;;;2;62,5;100;1;71;100;2;68,5;100;10;72,8;100;2;87,5;100;;;;;;;57.622964;39.851727
49;760102;г. Ярославль;10;"Муниципальное общеобразовательное учреждение ""Средняя школа № 10""";150060, Ярославская обл., г. Ярославль, ул. Туманова, д.18в;Теплов Сергей Васильевич;4852;538225;yarsch010@yandex.ru;http://school10yar.narod.ru;23;59,7;100;13;41,8;76,9;23;4,2;100;4;39,5;100;2;32;50;4;43,8;75;;;;2;67;100;2;49,5;100;3;40,7;66,7;11;53,3;100;;;;;;;;;;57.691819;39.765777
50;760103;г. Ярославль;11;"Муниципальное общеобразовательное учреждение ""Средняя школа № 11""";150052, Ярославская обл., г. Ярославль, ул. Громова, д.10а;Контров Николай Евгеньевич;4852;551785, 554033;yarsch11@yandex.ru;http://76202s011.edusite.ru;20;66,3;100;16;34,8;56,3;19;4,2;100;4;48,3;100;2;39;50;3;42,7;66,7;1;56;100;3;50,7;100;1;44;100;;;;10;51,9;80;2;57,5;100;;;;;;;57.674305;39.779566
51;760402;г. Ярославль;12;"Муниципальное общеобразовательное учреждение ""Средняя школа № 12""";150029, Ярославская обл., г. Ярославль, ул. Курчатова, д.8;Толстякова Елена Борисовна;4852;441605;yarsch012@yandex.ru;http://school12.edu.yar.ru;19;78,2;100;12;58,1;100;15;4,5;100;1;96;100;2;53;100;3;60;100;;;;7;60,6;100;1;59;100;3;68,7;100;9;63,2;100;3;75;100;1;70;100;;;;57.581066;39.84632
52;760403;г. Ярославль;13;"Муниципальное общеобразовательное учреждение ""Средняя школа № 13""";150002, Ярославская обл., г. Ярославль, ул. Маланова, д.10г;Потемина Марина Павловна;4852;327654;yarsch013@yandex.ru;http://school13.edu.yar.ru;24;68,7;100;21;39;85,7;15;4,3;93,3;12;39,6;83,3;;;;7;43,4;85,7;;;;;;;;;;1;78;100;18;50,9;88,9;;;;;;;;;;57.605604;39.827572
53;760602;г. Ярославль;14;"Муниципальное общеобразовательное учреждение ""Средняя школа № 14 им.Лататуева В.Н.""";150030, Ярославская обл., г. Ярославль, ул. Гоголя, д.7;Ширкина Ольга Альбертовна;4852;476197;yarsch014@yandex.ru;http://www.sch14.ru;26;72,1;100;11;37,7;100;22;4,1;100;4;45,5;100;5;37,6;60;8;67,8;100;;;;1;48;100;;;;7;52,3;100;14;60,4;100;1;77;100;;;;;;;57.592857;39.869613
54;760404;г. Ярославль;15;"Муниципальное общеобразовательное учреждение ""Средняя школа № 15""";150046, Ярославская обл., г. Ярославль, ул. Павлова, д.37;Томилина Ольга Ивановна;4852;311375;yarsch015@yandex.ru;http://yar15sh.edu.yar.ru;18;70,8;100;9;56,8;100;16;4,5;100;1;41;100;;;;2;65,5;100;4;72,8;100;1;61;100;6;52,7;100;6;51,3;100;8;62,5;87,5;2;58,5;100;;;;;;;57.587859;39.834049
55;760603;г. Ярославль;16;"Муниципальное общеобразовательное учреждение ""Средняя школа № 16""";150001, Ярославская обл., г. Ярославль, ул. Туговская, д.11;Моденова Ольга Алексеевна;4852;305731;yarsch016@yandex.ru;http://school16.edu.yar.ru;1;86;100;1;50;100;1;5;100;;;;;;;;;;;;;;;;;;;;;;1;72;100;1;91;100;;;;;;;57.610238;39.895296
56;760104;г. Ярославль;17;"Муниципальное общеобразовательное учреждение ""Средняя школа № 17""";150019, Ярославская обл., г. Ярославль, Красноперевальский пер., д.4;Казанов Ярослав Валерьевич;4852;579735;yarsch017@yandex.ru;http://school17-yar.edusite.ru/;18;67,1;100;5;48,2;100;18;3,9;100;1;44;100;1;46;100;1;68;100;;;;1;50;100;1;44;100;5;44,4;100;13;51;76,9;;;;;;;;;;57.731162;39.767349
