Number;Name;Address;INN;OGRN;Registration number;Requisites;Date of decision;Expiry date;Education levels;Date order for renewal;Number order for renewal;Order the suspension of date;Order the suspension of number;Order the resumption date;Order the resumption number;Order date of the withdrawal ;Order number of the withdrawal ;Order date of the termination;Order number of the termination;Latitude;Longitude
№ 44;"муниципальное общеобразовательное учреждение «Средняя школа № 84
с углубленным изучением английского языка»
";150062, город  Ярославль, проезд Доброхотова, дом 8;7603019491;1027600622939;163/16;76А01 № 0000410;28.01.2014;28.01.2026;начальное общее образование, основное общее образование, среднее общее образование ;21.10.2016;738/05-03;;;;;;;;;57.653686;39.948745
№ 45;государственное образовательное учреждение начального профессионального образования Ярославской области профессиональный лицей № 2;Российская Федерация, г. Ярославль, ул. Кузнецова, д. 4;7606021650;1027600849880;89/13;76А01 № 0000124;30.04.2013;30.04.2019;" укрупненные группы направлений подготовки  и специальностей: СФЕРА ОБСЛУЖИВАНИЯ; ЭНЕРГЕТИКА, ЭНЕРГЕТИЧЕСКОЕ МАШИНОСТРОЕНИЕ И ЭЛЕКТРОТЕХНИКА; МЕТАЛЛУРГИЯ,  МАШИНОСТРОЕНИЕ И  МАТЕРИАЛООБРАБОТКА; ТРАНСПОРТНЫЕ СРЕДСТВА; ИНФОРМАТИКА И  ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА;  образовательная программа начального профессионального образовангия: оператор электронно-вычислительных машин";;;;;;;;;;;57.640725;39.849724
№ 46;государственное профессиональное  образовательное автономное учреждение Ярославской области  Ярославский колледж гостиничного и строительного сервиса ;150043, Российская Федерация, г. Ярославль,  ул. Чкалова, д. 34 ;7606021410;1027600850221;197/16;76А01 № 0000090;20.02.2012;20.02.2018;"Среднее профессиональное образование по программам подготовки квалифицированных рабочих (служащих):  08.00.00 Техника и технологии строительства; 09.00.00 Информатика и вычислительная  техника; 15.00.00 Машиностроение; среднее профессиональное образование по программам  подготовки специалистов среднего звена: 43.00.00 Сервис и туризм";"11.06.2013; 25.06.2013; 19.12.2013; 29.11.2016";"419/05-03; 462/05-03;  715/05-03; 890/05-03";;;;;;;;;57.638003;39.837067
№ 47;государственное профессиональное  образовательное автономное учреждение Ярославской области  Ярославский колледж гостиничного и строительного сервиса ;Ярославль, ул. Чкалова, 34;;1027600850221;198/16;76А01 № 0000445;20.02.2012;20.02.2018;Основное общее образование;"11.06.2013; 25.06.2013; 19.12.2013; 29.11.2016";"419/05-03; 462/05-03;  715/05-03; 890/05-03";;;;;;;;;57.638003;39.837067
№ 48;муниципальное образовательное учреждение открытая (сменная) общеобразовательная школа № 95;150044 г. Ярославль, ул. Пионерская, 19;7602022325;1027600510882;фев.96;ОП 024193;22.03.2011;22.03.2023;"общеобразовательная программа основного общего образования; общеобразовательная программа среднего  (полного) общего образования";;;;;;;;;;;57.684819;39.792439
№ 49;"муниципальное общеобразовательное учреждение ""Открытая (сменная)  школа № 97""";150007, город Ярославль, станция  Урочь, дом  10;7603015786;1027600621872;180/15;76А01№ 0000236;21.04.2014;21.04.2026;Основное общее образование, среднее общее образование ;22.12.2015;719/05-03;;;;;;;;;57.640253;39.904935
№ 50;муниципальное образовательное учреждение начальная школа - детский сад N 99;150006, г.Ярославль, ул. Лебедевская, дом 26;7607012585;1027600982947;сен.43;ОП 024195;08.12.2011;08.12.2023;Основная общеобразовательная программа начального общего оброазования;;;;;;;;;;;57.579816;39.915804
№ 51;государственное образовательное бюджетное учреждение Ярославской области специальное (коррекционное) общеобразовательная школа-интернат № 6 ;Российская Федерация, г. Ярославль, ул. Клубная, д. 40;7603020761;1027600622818;82/15;76А01 № 0000160;19.03.2015;19.03.2027;Основное общее образование ;12.05.2015;179/05-03;;;;;;;;;57.60842;39.966631
№ 52;"муниципальное общеобразовательное учреждение ""Школа имени Евгения Родионова"" ";Ярославская область, Ростовский район,  д. Судино д. 27;7609014563;1027601065535;138/16;76А01 № 0000386;10.06.2014;10.06.2026;Начальное общее образование, основное общее образование, среднее общее образование ;20.06.2016;540/05-03;;;;;;;;;57.207409;39.288556
№ 53;"муниципальное общеобразовательное учреждение ""Вечерняя (сменная)  школа № 16"" ";150036,  город  Ярославль, улица Колышкина, дом 1а;7603022938;1027600623050;122/16;76А01 № 0000372;08.05.2015;08.05.2027;Основное  общее образование, среднее общее образование ;23.05.2016;470/05-03;;;;;;;;;57.732762;39.803066
№ 54;"муниципальное общеобразовательное учреждение ""Вечерняя (сменная)  школа № 21"" "; 150036, город Ярославль, ул. Хлебная,  дом  12;7603022230;1027600621047;123/16;76А01 № 0000373;30.01.2015;30.01.2027;Основное общее  образование,  среднее  общее  образование ;23.05.2016;471/05-03;;;;;;;;;57.766003;39.789735
№ 55;Муниципальное общеобразовательное учреждение Борисоглебская средняя общеобразовательная школа № 2;Российская Федерация, 152170, Ярославская область,  п. Борисоглебский, ул. Победы, д.№ 1 А;7614003969;1027601066756;59/15;76А01 № 0000140;02.04.2015;02.04.2027;Начальное  общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;57.268577;39.168604
№ 56;муниципальное образовательное учреждение дополнительного образования детей специализированная детско-юношеская спортивная школа олимпийского резерва № 7;150062, Ярославская обл., г. Ярославль, ул. Космонавтов, 4;7603011975;1027600622807;авг.24;ДД 005506;12.05.2010;12.05.2015;Дополнительные общеобразовательные программы;;;;;;;;;;;57.657658;39.955689
№ 57;Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 100;150051, Ярославская обл., г. Ярославль, ул. Сосновая, д. 14а;7603039730;1087603001012;янв.90;ДД 005535;25.06.2010;25.06.2015;Дошкольного образования;;;;;;;;;;;57.640233;39.951108
№ 58;"муниципальное общеобразовательное учреждение ""Санаторно-лесная школа""";150518, Ярославская область, Ярославский район, поселок Красный Бор, дом  38а;7603017134;1027600621025;159/15;76А01 № 0000216;19.12.2014;19.12.2026;Начальное общее образование, основное общее образование ;07.12.2015;638/05-03 ;;;;;;;;;57.653474;39.979135
№ 59;"государственное професиональное образовательное учреждение  Ярославской области ""Ярославское художественное училище"""; Российская Федерация, г. Ярославль, ул. Большая Федоровская, д. 27;7605012822;1027600788148;105/15;76А01 № 0000047;04.02.2015;04.02.2021;Среднее профессиональное образование: 54.00.00 Изобразительное и прикладные виды искусства (укрупнённая группа специальностей) ;15.06.2015;233/05-03;;;;;;;;;57.609948;39.87697
№ 60;"муниципальное  общеобразовательное учреждение ""Начальная школа - детский сад № 85""";150032, город  Ярославль,  посёлок  Прибрежный, дом  18а ;7604246627;1137604011379;34/16;76А01 № 0000288;26.05.2014;26.05.2026;Начальное общее образование ;16.02.2016;132/05-03;;;;;;;;;57.54497;39.974015
№ 61;Муниципальное дошкольное образовательное учреждение детский сад присмотра и оздоровления № 52;150007, Ярославская обл., г. Ярославль, ул. Маяковского, д. 63а;7603016194;1027600621840;янв.01;ДД 005500;12.05.2010;12.05.2015;дошкольного образования;;;;;;;;;;;57.625976;39.948054
№ 62;муниципальное общеобразовательное учреждение Вощажниковская средняя общеобразовательная школа;152174, Российская Федерация, Ярославская область, Борисоглебский  муниципальнвый район, с. Вощажниково, ул. Советская, д. 106;7614003447;1027601071101;163/13;76А01 № 0000196;19.12.2013;19.12.2025;начальное общее образование, основное общее образование, среднее  общее образование, ;;;;;;;;;;;57.36056;39.139498
№ 63;"Частное общеобразовательное учреждение ""Ярославская Губернская Гимназия имени святителя Игнатия Брянчанинова""";Ярославская область, 150000, г. Ярославль, ул. Трефолева, дом 20а;7605021802;1037600605195;226/16;76А01 № 0000473;06.03.2015;06.03.2027;Начальное общее   образование,  основное общее образование, среднее  общее образование ;23.12.2016;992/05-03;;;;;;;;;57.627557;39.886456
№ 64;Муниципальное дошкольное образовательное учреждение детский сад присмотра и оздоровления № 97;150051, Ярославская обл., г. Ярославль, ул. Красноборская, д. 21а;7603013620;1027600622004;янв.89;ДД 005534;25.06.2010;25.06.2015;дошкольного образования;;;;;;;;;;;57.645301;39.943302
№ 65;Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 112;150051, Ярославская обл., г. Ярославль, ул. Папанина, д. 21;7603019036;1027600622125;янв.14;ДД 005555;05.08.2010;15.02.2015;дошкольного образования;;;;;;;;;;;57.647748;39.960918
№ 66;Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 151;150051, Ярославская обл., г. Ярославль, ул. Орджоникидзе, д. 18а;7603013595;1027600622697;янв.30;ДД 005512;24.05.2010;24.05.2015;дошкольного образования;;;;;;;;;;;57.650565;39.956588
№ 67;Муниципальное образовательное учреждение Ляховская основная общеобразовательная школа;152182, Ярославская обл., Борисоглебский р-н, д. Ляхово, ул. Заречная, д. 2;7614003528;1027601072091;фев.65;АА 184969;16.01.2009;16.01.2014;начального общего образования основного общего образования;;;;;;;;;;;57.194552;38.920291
№ 68;Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 166;150008, Ярославская обл., г. Ярославль, ул. Клубная, д. 10;7603018554;1027600622851;янв.34;ДД 024208;25.11.2010;25.06.2015;дошкольного образования;;;;;;;;;;;57.607547;39.950812
№ 69;Муниципальное дошкольное образовательное учреждение детский сад № 173;150007, Ярославская обл., г. Ярославль, Набережный пер., д. 24;7603019029;1027600622940;янв.55;ДД 005554;15.06.2010;15.06.2015;дошкольного образования;;;;;;;;;;;57.633763;39.907477
№ 70;Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 203;150062, Ярославская обл., г. Ярославль, ул. Орджоникидзе, д. 37а;7603013316;1027600621806;янв.93;ДД 005539;25.06.2010;25.06.2015;дошкольного образования;;;;;;;;;;;57.653864;39.957603
